"_id","date","activeCapital","activeCountryside","activeSum","recoveredCapital","recoveredCountryside","recoveredSum","deceasedCapital","deceasedCountryside","deceasedSum","inQuarantine","testedforCOVID19","vaccinated"
"607b4968aae27b112cd82ebe","04/17/2021, 05:01 PM",43768,227264,271032,87807,362984,450791,4698,20281,24979,51049,5096421,
"607c1a2bf3bdb00656957798","04/18/2021, 09:03 AM",43309,226986,270295,88742,366287,455029,4722,20462,25184,47751,5124731,
"607d6d84628973064d6b8375","04/19/2021, 08:54 AM",42817,226778,269595,89488,368724,458212,4763,20618,25381,45132,5144130,
"607e94ddff9958069f760e9e","04/20/2021, 08:50 AM",42129,225943,268072,90331,370850,461181,4801,20779,25580,43841,5157082,
"607fe672d8fc37064218bc07","04/21/2021, 08:43 AM",41450,225373,266823,91304,373446,464750,4831,20956,25787,42068,5179517,3363596
"608130037dd9fd06f785bab1","04/22/2021, 08:40 AM",40840,224534,265374,92308,377284,469592,4866,21135,26001,41857,5205923,3419450
"6083cde2a35e7e0946d32505","04/24/2021, 09:10 AM",39734,222713,262447,94185,384138,478323,4909,21511,26420,40947,5257377,3576705
"60852cb6f701fd08af899c96","04/25/2021, 09:26 AM",39370,221316,260686,94868,387339,482207,4933,21692,26625,37497,5280600,3596129
"60867eace11e7a065fb4adce","04/26/2021, 09:13 AM",38760,219458,258218,95731,390704,486435,4958,21843,26801,35472,5297235,3603901
"6087cfe5e5c95c0649fe6b9e","04/27/2021, 09:08 AM",37655,216448,254103,96927,394693,491620,4990,21994,26984,34785,5308624,3679730
